listing_id,avg_sentiment_score,review_scores_rating
9290157,0.42366063594818115,4.78
9306472,0.903629720211029,4.68
9453616,0.6225736141204834,4.91
9453790,0.5907820165157318,4.87
9458258,0.9192346930503845,4.74
9468871,0.9302262663841248,4.93
9501677,0.619819176197052,4.95
9502628,0.8968380689620972,4.92
9515026,0.7272092998027802,4.83
9534223,0.749954104423523,4.89
9581470,0.8168029934167862,4.94
9581611,0.4566261867682139,4.93
9587125,0.8709731549024582,4.86
9647994,0.6297276318073273,4.82
9725828,0.770006000995636,4.82
9800543,0.8532485365867615,4.8
9836503,0.8821882009506226,4.59
9857294,0.0923229306936264,4.64
9869583,0.569405734539032,4.57
9889289,0.9272000789642334,4.7
9917169,0.4842245578765869,4.78
9935108,0.7467919588088989,4.88
9980246,0.4087451696395874,4.75
10144418,0.8499035636583964,4.85
10182742,0.41914744675159454,4.85
10216761,0.815479040145874,4.75
10264628,0.8615844249725342,4.84
10461328,0.6988438963890076,4.73
10481353,0.7256781458854675,4.97
10487501,0.7631367444992065,4.8
10500566,0.6871998139790126,4.89
10511711,0.5654101967811584,4.59
10512386,0.6038914024829865,4.7
10514530,0.9292842745780945,4.91
10661695,0.7206483483314514,4.83
10663980,0.3793836236000061,4.9
10712227,0.8807081282138824,4.68
10812219,0.6037583649158478,4.9
10825247,-0.11037081480026245,4.61
10891357,-0.31166163086891174,4.57
11105435,0.4779297411441803,4.65
11160126,0.7206740180651346,4.75
11170133,0.5248261243104935,4.74
11238709,0.7122700810432434,4.46
11284781,0.740294357140859,4.9
11284955,0.8393337527910868,4.92
11327512,0.8947116732597351,4.87
11362562,0.12372002005577087,4.5
11405732,0.5793273448944092,4.7
11479318,0.8023025393486023,4.85
11535487,-0.13644704222679138,4.61
11592690,0.7958323955535889,4.36
11593131,0.6552761793136597,5.0
11626895,0.8798813819885254,4.9
11629406,0.8346219062805176,4.77
11635381,0.8915734887123108,4.76
11708077,0.6334021091461182,5.0
11722665,0.8866621255874634,4.67
11745937,-0.1682034134864807,3.68
11753619,0.5831378499666849,4.96
11763947,0.5846771001815796,4.92
11778899,0.056161463260650635,4.7
11778915,0.9025181531906128,4.98
11781761,0.880906879901886,4.88
11784994,0.9060114026069641,4.92
11802705,0.8829091787338257,4.45
11914194,0.7431391477584839,4.86
11952008,0.7604353427886963,4.84
11975931,0.9299076795578003,4.93
11993164,0.9000646471977234,4.86
12043561,0.7285084128379822,4.77
12049269,0.7699294686317444,4.7
12060340,0.8259620666503906,4.78
12100531,0.4656280279159546,4.93
12144029,0.5115385055541992,4.84
12213380,0.6720128059387207,4.56
12318502,0.8872576951980591,4.64
12326209,0.8964383602142334,4.67
12328542,0.6285175681114197,4.77
12331724,0.8466876347859701,4.74
12332076,0.8917514681816101,4.78
12367465,0.8679082989692688,4.75
12374415,0.6399026115735372,4.85
12377325,0.15439295768737793,4.82
12380261,0.5630393574635187,4.79
12414161,0.29310088604688644,4.75
12495771,0.8734766840934753,4.79
12521691,0.9278135299682617,4.69
12523155,0.7564254403114319,4.64
12577671,0.8036258220672607,4.79
12633049,0.35124677419662476,4.96
12751347,0.290679931640625,4.81
12825601,0.6512341201305389,4.7
12860175,0.7735186219215393,4.88
12918427,0.4625082314014435,4.68
12931702,0.8695800304412842,4.87
12963657,0.7494170963764191,4.73
13009315,0.6591975688934326,4.59
13022673,0.1518385112285614,4.67
13052420,0.4010152816772461,4.69
13072191,0.8004383444786072,4.92
13129286,0.7751032114028931,4.69
13135856,0.7412654161453247,4.81
