occupancy_rate_pct,review_scores_rating,number_of_reviews,has_reviews,neighbourhood_median_price,accommodates,bedrooms,bathrooms,beds,host_is_superhost,availability_365,calculated_host_listings_count,amenities_count,room_Hotel room,room_Private room,room_Shared room,prop_Entire home,prop_Entire rental unit,prop_Entire townhouse,prop_Other,prop_Private room in condo,prop_Private room in home,prop_Private room in rental unit,prop_Private room in townhouse,prop_Room in boutique hotel,prop_Room in hotel,accommodates_x_bedrooms,actual_price,predicted_price,residual,abs_pct_error
48.49,4.92,50,1,1750.0,3,2.0,1.0,2.0,1,188,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,1684.0500000000004,2199.1052,-515.0552246093746,30.58431902908907
0.82,5.0,1,1,742.245,5,2.0,2.5,4.0,0,362,1,63,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0,5467.199999999998,3222.974,2244.225878906248,41.04890764753894
0.0,4.14,7,1,1348.0,1,1.0,1.0,1.0,0,365,73,12,0,1,0,0,0,0,1,0,0,0,0,0,0,1.0,4000.0000000000014,3118.007,881.9929199218764,22.049822998046903
12.88,4.86,0,0,1000.0,2,1.0,1.0,1.0,1,318,49,41,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,1901.9999999999993,1041.4419,860.5581054687493,45.24490565030229
6.3,4.81,36,1,1348.0,4,1.0,1.5,2.0,1,342,7,26,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0,2663.9999999999995,1751.4089,912.5910644531245,34.256421338330505
15.89,4.93,55,1,1688.29,3,1.0,1.0,2.0,1,307,9,34,0,1,0,0,0,0,0,0,0,1,0,0,0,3.0,1027.0599999999997,1424.2413,-397.1813330078128,38.671677702160814
75.34,5.0,1,1,1750.0,3,1.0,1.0,1.0,1,90,11,36,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,1973.67,2001.9235,-28.253461914062427,1.431519043916279
50.68,4.33,6,1,2652.55,5,2.0,2.0,3.0,0,180,16,38,0,0,0,0,1,0,0,0,0,0,0,0,0,10.0,6783.099999999998,4731.2783,2051.8216796874976,30.249025956973924
0.27,4.86,0,0,1400.0,2,1.0,1.0,1.0,0,364,117,35,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,826.5899999999997,971.42334,-144.8333398437503,17.521787082320177
1.92,5.0,2,1,1348.0,2,1.0,1.0,1.0,1,358,13,8,0,1,0,0,0,0,1,0,0,0,0,0,0,2.0,704.0000000000002,1076.7068,-372.7067871093748,52.94130498712708
65.75,5.0,20,1,1615.25,2,1.0,1.0,1.0,1,125,7,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1278.7900000000004,1346.6063,-67.81632324218708,5.303163399947377
5.48,5.0,4,1,1000.0,2,1.0,1.0,1.0,0,345,2,18,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,977.6200000000003,843.1771,134.44287597656285,13.752058670706695
0.0,4.86,0,0,1251.33,2,1.0,1.0,1.0,0,365,5,4,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,715.0000000000001,792.062,-77.06201171874989,10.777903736888096
0.27,4.86,0,0,2181.995,2,1.0,1.0,1.0,0,364,6,19,0,1,0,0,0,0,0,0,0,0,0,0,1,2.0,1683.9500000000003,2387.784,-703.8339355468747,41.79660533548351
0.55,4.81,77,1,1010.0,2,1.0,1.0,1.0,0,363,2,26,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,1447.2500000000005,804.16345,643.086547851563,44.43506981181985
83.56,4.78,86,1,2220.88,3,1.0,1.0,2.0,0,60,75,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1893.0,2052.2263,-159.226318359375,8.411321624900951
0.0,4.86,0,0,1348.0,2,1.0,1.0,2.0,0,365,58,3,0,1,0,0,0,0,0,0,0,0,0,0,1,2.0,1506.35,1515.1627,-8.812719726562591,0.5850379876232343
0.0,4.86,0,0,1348.0,2,1.0,1.0,1.0,0,365,97,12,0,1,0,0,0,0,0,0,0,0,0,0,1,2.0,1578.8800000000006,1415.8046,163.07543457031306,10.328551540985572
0.0,4.0,3,1,1193.0149999999999,4,4.0,1.0,4.0,0,365,2,51,0,0,0,1,0,0,0,0,0,0,0,0,0,16.0,897.9999999999998,2892.7507,-1994.7507324218752,222.13259826524228
28.49,5.0,1,1,1688.29,2,1.0,1.0,1.0,1,261,94,30,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,1571.0000000000002,1292.3116,278.6883544921877,17.739551527192088
0.27,1.0,1,1,1750.0,6,2.0,2.0,5.0,0,364,4,6,0,1,0,0,0,0,0,0,0,0,0,1,0,12.0,4278.000000000003,3098.972,1179.0280761718777,27.56026358513036
0.27,5.0,4,1,1296.0,3,1.0,1.0,3.0,1,364,5,22,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0,1292.9999999999995,1190.3448,102.65515136718705,7.939300183077114
0.27,4.6,5,1,1750.0,4,2.0,1.0,2.0,0,364,45,44,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0,1240.3900000000003,2457.622,-1217.2320703124997,98.13301222297014
4.11,4.86,0,0,1000.0,2,1.0,1.0,1.0,1,350,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,940.2499999999999,923.05365,17.196350097656136,1.8289125336512775
32.6,5.0,1,1,1824.52,2,1.0,1.0,1.0,0,246,1,41,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,667.65,1508.2439,-840.593896484375,125.90337699159366
