listing_id,cluster,calculated_host_listings_count,price,occupancy_rate_pct,review_scores_rating,number_of_reviews,availability_365
1603982464074078509,2,6,415.9,0.0,4.86,0,365
1463718402577580538,4,97,1634.17,0.27,4.86,0,364
27620711,3,3,1034.0,50.96,5.0,3,179
569975602769092887,2,46,844.4,20.27,4.87,23,291
841573732478742015,2,6,713.0,0.0,4.54,46,365
1125752156730929419,2,4,560.0,0.0,5.0,1,365
1364112182236125242,2,58,1528.71,0.0,4.86,0,365
36796097,3,14,1000.67,50.68,4.79,24,180
1172958732030956385,3,67,818.0,60.27,4.71,17,145
32271931,0,18,11412.0,26.03,4.86,0,270
1582730036392489804,2,4,1284.92,5.48,5.0,16,345
1086186297439073918,2,6,2667.57,0.55,4.86,0,363
1288402740456678391,2,1,1797.5,7.95,4.77,13,336
760050388422917887,1,8,678.0,49.86,4.91,841,183
980220302408325335,2,68,1358.0,26.03,4.71,14,270
1239887170249214117,2,3,3995.0,0.27,4.86,0,364
1517488336261647950,4,112,1684.38,0.27,4.86,0,364
1662460016865638430,0,43,6467.86,0.27,5.0,1,364
1288204935907842826,2,1,4088.0,0.27,4.0,1,364
41417890,2,34,1753.0,26.03,5.0,2,270
1454886435715339253,2,30,450.0,3.29,4.58,19,353
15041593,5,1,4724.5,0.55,3.33,3,363
732776343825040940,2,1,4565.0,0.27,4.86,0,364
1328366849060965468,2,4,2384.47,0.0,5.0,2,365
1447577064771068895,2,57,2130.33,0.0,4.86,0,365
1573971674958954248,4,144,1450.93,0.27,4.86,0,364
34376560,3,2,587.63,48.22,4.98,81,189
1484747649673438100,4,94,3760.0,4.38,4.94,72,349
1031813899662473330,1,2,1425.0,42.74,4.96,178,209
1420502156106803533,2,28,747.54,5.75,4.86,0,344
1653449168004570587,3,36,905.0,56.44,5.0,1,159
1288036790614815564,2,1,3949.74,0.0,4.86,0,365
11940567,2,8,2749.0,1.1,4.86,0,361
1654120807578553737,3,19,1254.55,75.34,4.86,0,90
1205815066581734918,2,16,1402.0,0.27,5.0,1,364
1268784256036417062,3,5,666.56,50.68,5.0,19,180
1319293774475712334,2,15,823.49,0.0,4.67,6,365
37135252,2,15,1233.0,0.0,4.52,29,365
1482418221660582424,3,5,1692.4,76.99,4.88,16,84
33144463,2,1,2157.0,26.03,4.86,0,270
784477916630845507,2,82,916.57,9.59,4.82,17,330
1169286655330333542,2,5,952.71,10.14,4.75,4,328
1480387388538689678,2,57,998.56,0.0,4.86,0,365
1091108343090312130,0,20,9108.6,46.85,4.86,0,194
1703634526845148275,2,10,722.4,36.16,4.86,0,233
1709579295301613262,2,1,1350.0,0.27,4.86,0,364
1546468096800250281,3,7,1369.67,75.34,5.0,4,90
1683426156882230244,2,44,559.96,0.55,4.86,0,363
1659395247948251267,2,1,3195.3,27.4,4.86,0,265
1457037716579011880,2,58,2547.11,0.0,4.86,0,365
1365838888538156489,3,17,1401.4,64.38,4.86,0,130
29795239,1,36,3880.0,35.62,4.73,172,235
1366084442093306455,4,129,1139.33,0.27,4.86,0,364
1285868215547597104,4,247,5200.0,78.08,4.86,0,80
1704924577708133049,2,32,1583.26,0.0,4.86,0,365
1541233542927481845,2,1,1274.05,12.33,5.0,3,320
1536671857811214030,3,1,1019.0,75.89,4.86,0,88
1409172776789317294,3,15,5700.0,79.18,5.0,1,76
1316326841372714461,2,35,1350.0,0.0,4.5,16,365
800642184073108598,2,12,799.0,10.14,4.86,58,328
886745246360422768,2,1,782.4,35.89,4.95,20,234
1283087746962854665,2,15,396.0,0.55,5.0,6,363
1526657831001821274,2,81,1218.67,0.82,4.0,4,362
779503507904940932,2,10,1613.0,0.27,4.5,4,364
864475291073908784,2,5,806.0,0.27,4.68,41,364
1639762492646586892,2,21,3055.55,12.05,4.86,0,321
1665090267990635657,2,1,1087.74,0.0,4.86,0,365
1109009287915158834,2,1,1563.93,26.3,4.86,0,269
1317327124913897714,2,12,1738.0,0.27,4.86,0,364
10934702,2,73,1500.0,0.0,3.69,36,365
12855105,2,4,1146.0,0.0,5.0,1,365
1384791116177207126,2,5,681.97,1.64,5.0,13,359
1656309049672596191,2,9,839.2,21.64,4.86,0,286
1513569563689484096,2,5,1711.77,4.11,4.79,14,350
1394870925280193800,2,3,4400.0,4.66,4.9,29,348
1329228766840870866,2,39,1826.0,0.0,4.86,0,365
1355438573950963828,2,9,1039.0,18.08,4.94,109,299
1310803470915846873,2,42,2953.4,0.0,5.0,1,365
28832561,2,8,2967.1,8.22,4.94,17,335
1511663829204188855,2,40,1693.0,3.84,4.86,0,351
1330999230607129900,2,62,332.9,0.0,4.86,0,365
1174340061127988872,4,176,2003.0,26.3,4.86,0,269
1301206170746131177,4,247,2277.15,0.27,4.86,0,364
1581180578720138307,2,39,1042.4,0.27,4.86,0,364
1558388529430164513,2,36,1680.0,25.21,4.86,0,273
764893201478161930,3,4,890.0,57.53,5.0,1,155
1599982856603766172,2,63,1222.69,0.0,4.86,0,365
1677278144642682993,2,49,987.25,3.56,4.86,0,352
1365960216157828366,3,6,1879.14,40.55,4.86,0,217
1261541695243829114,2,2,1519.0,0.27,4.64,11,364
1510438906310421988,3,5,1346.0,50.14,5.0,14,182
32388974,3,37,913.0,75.34,4.8,5,90
1649194221174545766,2,3,878.14,2.74,5.0,1,355
27818543,2,4,1500.0,2.19,4.58,19,357
1348879247972233453,2,1,1901.0,0.27,5.0,7,364
39435540,2,36,908.0,0.0,4.86,0,365
1641651948810105115,2,33,790.39,0.27,4.86,0,364
1595500702002132443,3,2,1095.53,83.56,4.86,0,60
1695384095035885529,2,10,323.48,0.0,4.86,0,365
1015014765606347944,4,99,1736.97,36.99,4.75,16,230
32854199,2,3,2440.03,0.27,4.92,37,364
1016522231110625527,2,1,453.53,3.29,4.86,0,353
992416106480861557,1,3,2335.0,40.0,4.95,148,219
1278974407032021216,2,16,910.75,8.49,4.5,4,334
1583204068089057903,2,40,2282.35,0.0,4.86,0,365
1204914451839174652,2,62,1976.52,17.53,4.92,13,301
33199204,2,29,1217.33,1.37,4.74,19,360
917948060098438426,4,176,1657.0,0.0,4.86,0,365
1676639210183583404,2,48,1455.5,12.33,4.86,0,320
29967084,2,2,249.47,0.27,3.86,7,364
1459832198506570005,3,9,1980.0,41.92,4.62,42,212
1451419448417958463,2,2,872.0,0.0,4.86,0,365
28443821,3,6,690.0,49.86,4.91,149,183
1454182115949263701,2,2,2219.21,32.33,4.84,37,247
42027488,2,3,1623.6,0.27,4.86,0,364
1549242176372421056,2,57,2180.33,0.27,4.86,0,364
1667954718473579984,5,23,2603.0,8.77,2.0,1,333
1173666112117620841,2,4,3915.61,26.03,4.86,0,270
886167119478201158,2,22,890.0,4.93,4.85,40,347
34290872,3,5,475.38,42.19,4.67,6,211
41285037,2,1,4069.0,26.58,4.86,0,268
1228158285409277534,2,5,626.0,0.0,5.0,2,365
1480553946238519033,3,6,1141.5,69.59,4.81,36,111
1554983025052836616,2,88,839.35,0.0,4.86,0,365
1599829770649588540,2,70,1017.0,1.1,5.0,2,361
1280429493773875182,0,1,10310.0,7.12,4.71,21,339
1622340730155075823,2,2,903.81,0.0,4.86,0,365
5520389,3,1,1065.25,47.12,4.7,44,193
1592882157013148440,4,113,924.55,0.0,4.86,0,365
939548468317624607,1,29,1829.83,0.55,4.91,169,363
1304076602838259974,3,14,3212.0,98.63,5.0,15,5
34933660,2,41,1754.65,0.0,4.48,29,365
1546384922464974802,2,64,747.4,0.0,4.86,0,365
1578604557832294651,3,88,1875.0,76.71,4.0,2,85
1291381055112037326,3,32,422.0,52.6,5.0,11,173
1346267662378551611,2,1,1786.9,0.0,4.86,0,365
1716864325642504926,3,40,678.62,50.68,4.86,0,180
1629748572351006701,3,27,1940.0,99.73,5.0,5,1
1443442923149970383,0,5,17224.0,0.0,4.0,1,365
1391585346967458540,2,65,1471.33,0.27,4.86,0,364
